geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,NSCLC,SCLC
SND1,29.44109126,0.336688711,0.131874456,2.553100273,0.010676875,0.354472261,0,0
PRR12,5.249432021,0.521694908,0.204787114,2.54749871,0.010849825,,0,0
DUSP10,13.8724441,-0.552862372,0.217114263,-2.546412036,0.010883664,0.359838312,0,0
TLN2,4.755583043,-0.612697908,0.240978479,-2.542542023,0.011004937,,0,0
NOL7,8.879336114,0.719959095,0.283768178,2.537138242,0.011176281,0.367985983,0,0
AZGP1,13.28281629,-1.4543241,0.573779429,-2.534639664,0.011256305,0.369095618,0,0
TMEM201,1.918869039,0.692780798,0.273411832,2.533836203,0.011282145,,0,0
PIGW,1.087800236,0.84979243,0.335450004,2.533290862,0.011299715,,0,0
BTN3A2,10.28212077,-0.623695552,0.246317366,-2.532081121,0.011338776,0.369987709,0,0
PPAPDC1A,0.473985891,-2.592768777,1.024732014,-2.530192032,0.011400011,,0,0
C1D,9.208979463,0.574406739,0.227139128,2.528876214,0.011442838,0.369987709,0,0
ARID3A,4.203397877,-0.5627186,0.222553707,-2.528462044,0.011456347,,0,0
STARD3,6.791915005,0.594469412,0.235301275,2.526418152,0.011523224,0.369987709,0,0
SLC6A8,6.227455409,0.973772509,0.385614074,2.525251476,0.011561552,0.369987709,0,0
POLDIP3,7.170859716,0.351918476,0.13948751,2.522938971,0.01163786,0.369987709,0,0
ADAM17,21.99758233,0.388596788,0.154040535,2.522691761,0.011646043,0.369987709,0,0
DAPK1,279.848783,-1.037796709,0.411527371,-2.521816972,0.011675044,0.369987709,0,0
SNORA67,38.28748126,5.052415795,2.003586608,2.521685749,0.011679399,0.369987709,0,0
BRCC3,8.234836969,-0.548273101,0.2174804,-2.521023055,0.011701419,0.369987709,0,0
POLR3H,3.693847001,0.492211405,0.19542981,2.51860965,0.011781919,,0,0
FGG,15.97573983,1.525835933,0.60659642,2.515405438,0.011889557,0.371339078,0,0
GART,15.60104269,0.510267598,0.202901977,2.514847836,0.011908377,0.371339078,0,0
NFIC,17.90076606,0.41303729,0.16427142,2.514358791,0.011924905,0.371339078,0,0
KIF5C,155.7960074,3.061432093,1.217660802,2.514191215,0.011930573,0.371339078,1,0
DDX60,11.29180651,-0.539219388,0.21460505,-2.512612772,0.01198408,0.371553097,0,0
MIPOL1,22.18159379,0.784189451,0.312564689,2.508886894,0.012111226,0.374039716,0,0
NRN1,1.471006889,1.506418735,0.602096806,2.501954369,0.012350984,,0,0
AP1G2,7.465467241,0.413606377,0.165477523,2.49947164,0.012437865,0.382644446,0,0
SNX18,6.272185833,0.496704751,0.19889792,2.497284793,0.01251484,0.383089977,0,0
FAM21A,1.605018742,2.449249283,0.981039002,2.496587065,0.012539488,,0,0
CACNA1D,24.80783899,1.191425449,0.477270405,2.496332137,0.012548505,0.383089977,0,0
BBIP1,4.739528498,0.435306923,0.17456011,2.493736526,0.012640633,,0,0
RPS10-NUDT3,40.76122558,-1.37645424,0.552565858,-2.491022964,0.012737589,0.385473618,0,0
RSAD2,2.61854014,-0.589091134,0.236521037,-2.490650054,0.012750964,,0,0
HSD11B1L,1.017407497,1.660849201,0.666835041,2.490644759,0.012751154,,0,0
C16ORF87,2.516936058,-0.440448796,0.177047298,-2.4877465,0.012855533,,0,0
QRICH2,0.84758494,2.196749773,0.883097433,2.487550853,0.012862606,,0,0
ITFG1,42.055908,-0.584303507,0.234924922,-2.487192511,0.01287557,0.385473618,0,0
PDZD11,7.863300813,-0.473108279,0.190233734,-2.486984141,0.012883114,0.385473618,0,0
SPRED1,106.1631537,-0.679413146,0.273485794,-2.484272169,0.012981655,0.385473618,0,0
FAR2,7.763099576,-0.705547849,0.284045068,-2.48392924,0.012994163,0.385473618,0,0
ERCC3,8.306186248,-0.314871793,0.126814932,-2.482923636,0.013030902,0.385473618,0,0
WTAP,35.42306881,0.379995248,0.153082559,2.482289617,0.013054113,0.385473618,0,0
TAF4B,10.84442784,-1.016865945,0.409854667,-2.481040297,0.013099956,0.385473618,0,0
ZNF441,1.748990054,-0.545244333,0.219846339,-2.480115591,0.01313398,,0,0
THOP1,3.94268475,0.445704597,0.179780928,2.47915395,0.013169445,,0,0
SDHAF2,8.98526451,0.337486179,0.136152299,2.478740222,0.013184729,0.385473618,0,0
ATAD2,11.28391907,0.485324191,0.19594388,2.476853015,0.013254648,0.385473618,0,0
PNKP,4.662786324,0.580426452,0.234381696,2.476415446,0.013270906,,0,0
TXNDC12,12.08141388,-0.347705191,0.140428042,-2.476038169,0.013284937,0.385473618,0,0
CNTROB,5.297885749,0.467996821,0.189089572,2.47500069,0.013323592,0.385473618,0,0
SH3YL1,15.71353284,0.368572151,0.148929434,2.474810657,0.013330683,0.385473618,0,0
ADRB2,1.812227008,0.738502257,0.298435333,2.474580504,0.013339275,,0,0
MTA3,11.21395813,-0.389948706,0.157611651,-2.474110914,0.013356822,0.385473618,0,0
GBE1,14.1375869,0.567524662,0.229391806,2.474040691,0.013359448,0.385473618,0,0
ORAI3,3.225797292,-0.436548329,0.176552079,-2.472632051,0.013412215,,0,0
GSTA1,6.208397045,1.450185656,0.586578591,2.47227853,0.013425487,0.385473618,0,0
AQR,10.36018134,-0.329008148,0.133112604,-2.471652855,0.013449004,0.385473618,0,0
