,Name,FC,logFC,logCPM,P-Value,FDR,SCLC,NSCLC
5965,LYZ,1.444260775,0.530331258,8.814129966,0.084651528,0.258542826,0,0
5966,FAM220A,1.062179486,0.087027572,4.049841473,0.593467715,0.776615816,0,0
5967,UCK2,1.045430173,0.064096703,5.671995103,0.798174317,0.905658394,0,0
5968,UCK1,1.085090417,0.117815263,3.615111443,0.297409629,0.529067067,0,0
5969,LOC100996842,1.205602571,0.269754399,0.943150066,0.095994967,0.277401383,0,0
5970,NOX4,1.092845279,0.128089164,5.998712367,0.663403953,0.823564782,0,0
5971,NOX5,1.007014753,0.010084819,2.306464378,0.992212121,1.0,0,0
5972,CDIN1,1.123836035,0.168431565,6.35163159,0.379710708,0.606764029,0,0
5973,EFCC1,-1.23045918,-0.299196797,1.925004716,0.177207273,0.393400544,0,0
5974,CFAP77,-1.009623803,-0.01381783,2.705723567,0.940903627,0.977732987,0,0
5975,C7orf50,-1.262253184,-0.336001317,5.709914552,0.00531354,0.053130028,0,0
5976,ATF7IP2,-1.229046666,-0.297539695,7.175102411,0.056717039,0.204554858,0,0
5977,DIS3L,1.026874536,0.038259923,5.361661546,0.677690832,0.832714293,0,0
5978,LOC107986291,-1.35341235,-0.436601459,0.827308429,0.07521599,0.241732507,0,0
5979,LOC105373548,-1.158700965,-0.212508287,-2.171544921,0.666277454,0.825043888,0,0
5980,LOC105374879,-1.793604267,-0.842861615,1.587794517,0.000142656,0.005902621,0,0
5981,LOC107986292,-1.137150287,-0.185422936,-0.617563539,0.473057922,0.68843511,0,0
5982,LOC107986298,-1.860816464,-0.895935767,1.490014119,6.19353e-06,0.000703998,0,0
5983,LOC105373554,1.933392996,0.951134921,-2.034124783,0.057179953,0.205761277,0,0
5984,LOC107986297,-1.526187826,-0.609932524,0.454605145,0.119077632,0.313323399,0,0
5985,LOC105373551,1.048779528,0.06871143,-1.254478252,0.921172476,0.968217528,0,0
5986,FLVCR1,1.068107518,0.095056879,5.58640518,0.349212587,0.579782092,0,0
5987,FLVCR2,-1.03625458,-0.051378478,5.275790467,0.746248474,0.8768076,0,0
5988,NELFB,1.116336587,0.15877208,4.852692707,0.158413461,0.369643868,0,0
5989,NELFA,1.024457491,0.034860122,5.073435038,0.719900843,0.859950406,0,0
5990,C7orf57,-1.667504131,-0.737690336,2.556976148,0.008658148,0.06995133,0,0
5991,NSUN4,1.008534811,0.012260881,5.289640985,0.879930175,0.948643244,0,0
5992,NSUN5,-1.045072081,-0.063602451,3.433571544,0.652357283,0.81618942,0,0
5993,NSUN2,1.182748285,0.242143069,6.811059844,0.038987929,0.163403952,0,0
5994,NSUN3,1.050327487,0.070839224,6.013168496,0.405391882,0.629838227,0,0
5995,LOC105373539,-2.443188275,-1.288765044,-0.817332192,0.080313008,0.251532964,0,0
5996,NSUN6,1.112426196,0.153709623,5.666714435,0.123633581,0.320349138,0,0
5997,NSUN7,-1.430315528,-0.516333441,5.469307584,0.001479701,0.02504008,0,0
5998,LOC105374868,-1.148538771,-0.199799558,-1.034845604,0.549616607,0.745385209,0,0
5999,DYNLL1,1.390992129,0.476114257,5.78521989,0.002283745,0.032945227,1.0,0
6000,DYNLL2,1.009694598,0.013918988,6.253500295,0.930201642,0.972333813,1.0,0
6001,LOC105372211,1.135493592,0.183319564,1.146381058,0.353778839,0.583774226,0,0
6002,LOC105374873,-1.28786559,-0.364982032,1.276705394,0.104021253,0.290506356,0,0
6003,FAM222B,1.055601334,0.078065079,6.352074914,0.409941099,0.633171189,0,0
6004,FAM222A,1.207525223,0.272053325,0.330207238,0.357047255,0.586567042,0,0
6005,SH3RF3-AS1,-1.131330404,-0.178020329,0.659666389,0.46856851,0.685505436,0,0
6006,LOC105374875,-1.32780239,-0.409040454,-0.195397794,0.087856056,0.26471634,0,0
6007,ACRV1,1.591902579,0.670752048,-0.790540795,0.032961393,0.148871985,0,0
6008,C7orf31,1.047114728,0.066419521,3.018516087,0.62776734,0.800239837,0,0
6009,KARS1,1.178125838,0.236493645,6.298017368,0.114588964,0.306429185,0,0
6010,RPS27L,1.195979143,0.25819223,5.3151835,0.123966616,0.320929173,0,0
6011,PROCA1,-1.192380817,-0.25384507,1.946126931,0.109336195,0.298557402,0,0
6012,STYXL2,2.561104091,1.356765889,-0.18129995,0.008229489,0.068116487,0,0
6013,STYXL1,-1.079210675,-0.109976523,5.134893574,0.331592127,0.563373344,0,0
6014,BDP1P,-1.349999973,-0.432959379,-0.9765191,0.401103382,0.626203332,0,0
6015,YTHDF3-DT,1.329531306,0.410917749,-0.857528219,0.128965053,0.328229419,0,0
6016,LOC105373579,-1.197157053,-0.259612429,0.700166052,0.439405076,0.659773948,0,0
6017,LOC105372246,1.508222233,0.592849022,-0.723473038,0.068121205,0.227628615,0,0
6018,UCP3,-1.010750071,-0.015426305,1.131479285,0.93558298,0.974793827,0,0
6019,UCP2,1.339109849,0.421274312,5.125749821,0.020026418,0.111384277,0,0
6020,LOC105373578,-1.357188767,-0.440621395,0.748530957,0.151321225,0.359715288,0,0
6021,RPS27A,1.590399149,0.66938889,7.695216333,0.000166231,0.0064339,1.0,0
6022,LOC105373570,1.451741917,0.537785001,-0.450541351,0.059295922,0.210124793,0,0
6023,EVC2,-1.067094813,-0.093688368,5.005538512,0.507298893,0.714779334,0,0
6024,ANKIB1,1.11307286,0.154548033,8.001782225,0.092133874,0.271428874,0,0
6025,PIWIL4-AS1,-1.075551892,-0.105077132,2.80509411,0.493636807,0.704157864,0,0
6026,LOC338694,-1.120062038,-0.163578642,0.465828203,0.51044146,0.716976825,0,0
6027,SAMD4A,-1.220531175,-0.287509145,8.165432545,0.108136455,0.296841043,0,0
6028,LYRM9,-1.147102402,-0.197994187,3.240787231,0.066921569,0.224982965,0,0
6029,LOC105373559,-1.166597026,-0.222306302,-1.400685553,0.442659104,0.662960172,0,0
6030,GATAD2B,1.013258521,0.019002308,6.494865695,0.87769898,0.947292247,0,0
6031,STXBP5L,-1.80849866,-0.854792529,4.431757004,0.055579564,0.202664569,0,0
6032,LOC107986281,1.593568963,0.672261454,-1.696091373,0.177116245,0.393242601,0,0
6033,LYRM1,-1.13846776,-0.187093436,4.794611609,0.084596026,0.258542826,0,0
6034,LOC105374894,-1.714887401,-0.778113852,0.828978645,0.009652367,0.074101407,0,0
6035,LYRM2,1.14178668,0.191293137,4.55543801,0.150730389,0.358790977,0,0
6036,LOC107986285,1.042171087,0.059592136,-0.06377866,0.919434582,0.96767652,0,0
6037,LYRM4,1.020261122,0.028938437,3.320665103,0.847591903,0.934641675,0,0
6038,LOC105374898,-1.23907552,-0.309264121,3.442773222,0.08652218,0.261857026,0,0
6039,LOC105372236,-1.410685375,-0.49639626,-1.242581877,0.050178835,0.189722233,0,0
6040,LOC105373567,1.411964218,0.497703528,-0.332212542,0.174298374,0.389434392,0,0
6041,LOC107986289,-1.090514251,-0.125008623,2.334021778,0.722541809,0.861492157,0,0
6042,LYRM7,1.018036193,0.025788853,4.48393578,0.800577618,0.906914722,0,0
6043,CELF2-DT,2.037075931,1.026499757,-1.845352445,0.062716267,0.216739881,0,0
6044,MPLKIP,1.022014303,0.031415388,3.952776317,0.771987885,0.891418182,0,0
6045,C7orf26,-1.138089853,-0.186614464,4.328926737,0.035838032,0.155473698,0,0
6046,HS6ST1P1,-1.176748678,-0.234806232,0.443194306,0.329649879,0.561763897,0,0
6047,C7orf25,1.169218885,0.225545037,3.330300902,0.102512935,0.287985742,0,0
6048,CCDC144CP,-1.090463469,-0.12494144,2.449356403,0.621120383,0.795360937,0,0
6049,NRROS,1.463812009,0.549730286,3.267442657,0.005771939,0.05568654,0,0
6050,FAM228A,1.458386676,0.544373286,0.849841468,0.035992143,0.155834631,0,0
6051,LOC105374838,1.018062721,0.025826446,3.295564474,0.884774217,0.951175673,0,0
6052,LOC105374837,1.034492522,0.048923217,-1.305822953,0.843202523,0.932084703,0,0
6053,DEFB1,1.034984146,0.049608669,-0.67261302,1.0,1.0,0,0
6054,LOC107986250,-1.014453693,-0.020703011,-0.504779867,0.854366527,0.937579517,0,0
6055,MYLK4,-1.442495527,-0.528566845,3.377054096,0.00014064,0.005855942,1.0,1.0
6056,CXCL16,-1.0857944,-0.118750948,5.58820983,0.501446493,0.710176064,0,0
6057,FAM228B,1.039163421,0.055422554,5.183423587,0.603549219,0.7834217,0,0
6058,FOXQ1,1.078826754,0.109463204,4.352943751,0.766977583,0.888807795,0,0
6059,SLC25A48,-1.507257088,-0.591925514,3.925631105,0.069085843,0.22945085,0,0
6060,LOC107986252,-1.151616947,-0.203660924,0.171339476,0.556412029,0.750611629,0,0
6061,LOC105374843,-1.72166402,-0.78380363,-0.799735088,0.01270485,0.085468205,0,0
6062,LOC107986257,1.43713592,0.523196514,-0.918997476,0.114583773,0.306429185,0,0
6063,OSBP,1.08020598,0.11130644,6.541614721,0.256117561,0.485808563,0,0
6064,LOC105374842,1.126529887,0.171885589,-1.798381,0.641845369,0.808664652,0,0
6065,SLC25A41,1.376230348,0.460721963,-1.334834409,0.163859429,0.376750963,0,0
6066,SLC25A40,1.042351495,0.059841857,5.49217073,0.564327565,0.755671671,0,0
6067,FBRSL1,1.025641703,0.036526828,5.913847633,0.806531208,0.910270157,0,0
6068,SLC25A45,1.037551593,0.053183078,3.185245617,0.69880156,0.846133966,0,0
6069,SLC25A44,-1.009758469,-0.014010246,5.21654489,0.888119574,0.952561222,0,0
6070,SLC25A47,-1.097833779,-0.134659635,-1.893656496,0.799496753,0.90620934,0,0
6071,SLC25A46,-1.001789723,-0.002579717,6.149380243,0.969662835,0.991469345,0,0
6072,CPA3,1.144371333,0.194555263,4.448569861,0.507996401,0.715405355,0,0
6073,CPA2,3.723530904,1.896671332,-1.03366714,0.005795993,0.055809561,0,0
6074,MYLIP,-1.10048056,-0.138133661,5.970485974,0.335650553,0.566618012,0,0
6075,CPA1,1.100436668,0.138076118,-2.016504701,0.712843644,0.855890694,0,0
6076,LOC105374827,-1.395683174,-0.48097148,0.120286286,0.504086082,0.712282242,0,0
6077,PRPF4B,1.107253947,0.146986141,6.194404325,0.032368606,0.146993494,0,0
6078,FOXP4,-1.32947514,-0.410856801,5.950118812,0.002951348,0.0385038,0,0
6079,TICAM1,1.147678666,0.198718764,3.590552016,0.160827623,0.372595612,1.0,1.0
6080,LOC107986261,-1.261767387,-0.335445967,-1.749440626,0.539421051,0.738214056,0,0
6081,LOC107986260,1.18842342,0.249048941,-1.303093718,0.372902872,0.60054336,0,0
6082,ANKRD20A19P,1.256279294,0.329157237,0.36541911,0.639580503,0.807439547,0,0
6083,FAM227B,-1.034446252,-0.048858687,3.901371529,0.712910471,0.855890694,0,0
6084,FOXP2,1.001241516,0.001790018,7.996273519,0.982796332,0.997523651,0,0
6085,FOXP1,-1.079028879,-0.109733477,9.510205044,0.357549198,0.587001581,0,0
6086,GVINP1,1.553529843,0.635549956,5.033560358,0.006440748,0.058979391,0,0
6087,LOC107986263,2.905609144,1.538840648,-0.332457905,0.012062889,0.083263951,0,0
6088,MAF,1.3202845,0.40084884,6.184970882,0.014523695,0.093066658,0,0
6089,LOC105374834,1.933921743,0.951529417,-1.789769229,0.320655412,0.553686288,0,0
6090,LOC105374833,4.516337489,2.175153297,0.75530613,0.071599876,0.234416676,0,0
6091,MAK,-1.06798522,-0.094891682,5.518756048,0.456908251,0.675693987,0,0
6092,RBM14-RBM4,1.031955936,0.04538137,4.119808421,0.689332849,0.84135882,0,0
6093,FSCN1,1.677892967,0.746650689,5.660901577,0.021793892,0.116907947,0,0
6094,SLC25A52,1.579540232,0.659504684,-1.727283781,0.118842446,0.312894822,0,0
6095,MAL,1.28543204,0.362253338,1.928074687,0.187190045,0.406795376,0,0
6096,SLC25A51,1.09209688,0.127100844,5.490688601,0.273940873,0.505316414,0,0
6097,FSCN2,-1.085339601,-0.11814653,3.324193167,0.471523885,0.687203518,0,0
6098,DSC2,1.678334015,0.747029864,6.588793648,0.003308686,0.040855563,0,0
6099,DSC3,2.305327093,1.204971463,6.529904566,0.093331284,0.273622638,0,0
6100,RNASEH2C,1.118343519,0.161363406,2.783751949,0.326116544,0.558182143,0,0
6101,CPB2,-1.444449846,-0.530520112,-1.167202148,0.208881225,0.432003856,0,0
6102,RNASEH2B,1.04804255,0.06769729,6.357876291,0.51695073,0.722357746,0,0
6103,MAX,1.010515672,0.015091697,5.945923509,0.875334828,0.946082967,1.0,1.0
6104,TROAP,1.290965084,0.368449981,2.282892776,0.210548914,0.43419044,0,0
6105,MAZ,1.077383671,0.107532105,4.297160417,0.519438593,0.72367027,0,0
6106,GLIS3,-1.544022388,-0.626693671,8.532964465,0.000155753,0.006248424,0,0
6107,FOXO3,-1.311739738,-0.391481503,8.284998193,0.001162249,0.021788579,1.0,1.0
6108,KRCC1,1.000556559,0.000802722,5.651392884,0.995517136,1.0,0,0
6109,FOXO1,-1.076640336,-0.106536382,7.902166852,0.474038422,0.689229358,0,1.0
6110,GLIS2,-1.028620218,-0.040710416,-0.890018826,0.799884384,0.906337212,0,0
6111,LOC105373531,1.017397819,0.024883906,-0.178499093,0.900445572,0.958195013,0,0
6112,NPAT,1.148652212,0.199942046,6.626133014,0.027427523,0.134353102,0,0
6113,CNTNAP3C,-1.561422517,-0.64286098,1.048418385,0.050635816,0.190467819,0,0
6114,ZNF731P,1.094258774,0.129953953,3.97972562,0.220806291,0.446717147,0,0
6115,LOC105373530,1.107335,0.147091744,-1.001167265,0.51213343,0.718299959,0,0
6116,LOC107986236,1.242104742,0.312786835,0.276674407,0.518585494,0.723392645,0,0
6117,CNTNAP3B,1.292390748,0.370042327,3.528808163,0.158927497,0.370275516,0,0
6118,HACL1,1.218514182,0.285123042,4.896934549,0.00079974,0.017555235,0,0
6119,E4F1,-1.152113287,-0.204282583,4.471356278,0.081432588,0.25339423,1.0,0
6120,LOC107986239,1.718081063,0.780798108,-1.47621361,0.134067309,0.33559609,0,0
6121,MBP,1.056593311,0.079420181,7.172227653,0.516460711,0.721979075,0,0
6122,LOC107986238,-1.226164218,-0.294152209,0.088183579,0.404127817,0.628673852,0,0
6123,EVI5,-1.222410215,-0.289728504,8.125199932,0.002161739,0.031859072,0,0
6124,CPA6,1.350908263,0.433929708,4.606356867,0.315372594,0.547720334,0,0
6125,CPA5,1.173198701,0.230447379,-1.416615991,0.488755859,0.699940761,0,0
6126,CPA4,1.781005199,0.832691728,-0.267699345,0.160161335,0.371966989,0,0
6127,C7orf61,1.057837209,0.081117628,0.016629423,0.613021297,0.790015026,0,0
6128,KRT18P55,-1.102990351,-0.141420171,-1.544725337,0.812429759,0.914266616,0,0
6129,FAM229B,1.129423153,0.175586112,2.54071242,0.420986882,0.643594152,0,0
6130,DEFA3,3.172652182,1.665689367,-2.199807697,0.00722054,0.063329416,0,0
6131,LOC105374846,1.805651021,0.85251909,0.149183921,0.000606854,0.014853867,0,0
6132,FOXN3,-1.041381779,-0.058499069,8.940590686,0.611897777,0.789285478,0,0
6133,FOXN2,1.137081574,0.185335757,6.579998422,0.063852353,0.218944331,0,0
6134,MCC,-1.168805719,-0.225035143,7.635102223,0.253409467,0.482596939,0,0
6135,FOXN1,1.570834579,0.651531262,1.88554114,0.23381468,0.46193055,0,0
6136,LOC105374852,1.405436062,0.491017822,1.377151545,0.01161675,0.081272051,0,0
6137,CXCL12,1.342050209,0.424438647,4.916793221,0.137124658,0.339607,0,0
6138,LOC105374854,1.695952708,0.762095941,0.660915399,0.09351685,0.273841411,0,0
6139,LOC107986245,-1.093356637,-0.128764064,-1.227750442,0.752253969,0.880220135,0,0
6140,SCGB3A1,-1.415414042,-0.501224137,7.315652968,0.333206822,0.564302172,0,0
6141,MYOSLID-AS1,1.045359347,0.063998961,3.253842111,0.747357418,0.87722463,0,0
6142,MCU,-1.187231429,-0.247601189,8.207249949,0.071944788,0.235168396,0,1.0
6143,ADD3-AS1,1.268990752,0.343681556,1.307232769,0.095646864,0.277172699,0,0
6144,CELF1,-1.017102594,-0.02446521,8.076184609,0.70582649,0.852092799,0,0
6145,CDCA7L,-1.504036376,-0.58883946,5.487075424,0.000767565,0.017134193,0,0
6146,CELF2,-1.112648187,-0.153997493,9.122473072,0.461064773,0.67915087,0,0
6147,CELF3,-1.51674716,-0.60098061,0.705826171,0.067253855,0.225639822,0,0
6148,CELF4,-1.543438009,-0.62614754,2.930103504,0.01468946,0.093670312,0,0
6149,MCM10,1.977630275,0.983772734,3.604253074,0.000854402,0.01828827,0,0
6150,CELF6,1.255881272,0.328700082,2.609912706,0.047656838,0.184273107,0,0
6151,FOXM1,1.392194612,0.477360897,3.481136634,0.066855332,0.224873995,0,0
6152,FSD1L,1.224988522,0.292768231,5.252468393,0.035859181,0.155524949,0,0
6153,MDK,1.165758761,0.221269272,5.779990328,0.437203401,0.657817334,0,0
6154,ME1,1.092430575,0.127541597,7.254183089,0.524727262,0.728029168,0,0
6155,LOC107986217,1.981856035,0.986852167,-0.579696439,0.024573746,0.12631421,0,0
6156,ME3,-1.165190863,-0.220566294,6.41748911,0.197533929,0.419587403,0,0
6157,ME2,1.198792321,0.261581748,6.192187053,0.020572561,0.11318056,0,0
6158,LOC388996,-1.080766334,-0.112054641,1.912818218,0.569059262,0.75843954,0,0
6159,FOXL2,2.118751392,1.083214316,-0.782910312,0.23239287,0.459994614,0,0
6160,FOXL1,-1.158911507,-0.212770408,0.906604275,0.410034209,0.633171189,0,0
6161,SLC25A16,-1.038928853,-0.05509686,6.344965778,0.624208638,0.79751928,0,0
6162,LOC100128497,1.79701388,0.845601552,2.17370639,0.126785835,0.32540491,0,0
6163,SLC25A15,-1.110276962,-0.150919607,0.457655104,0.332141046,0.563413721,0,0
6164,NPC1,1.111694459,0.152760328,7.084716472,0.254272993,0.483605275,0,0
6165,LAMTOR5-AS1,1.127817747,0.17353395,0.558398565,0.295804204,0.527444604,0,0
6166,SLC25A19,1.239715818,0.310009447,3.05089728,0.021281939,0.115066757,0,0
6167,NPC2,-1.401336658,-0.486803592,7.320249747,0.051423086,0.192294535,0,0
6168,LOC107986225,-1.287569931,-0.364650791,0.041310029,0.120698333,0.315805217,0,0
6169,LOC107986229,-2.116566868,-1.081726068,0.689696384,0.00697154,0.061969938,0,0
6170,DSG1,2.014577503,1.010477309,0.392659023,0.212421681,0.436222025,1.0,0
6171,DSG2,1.486666314,0.572080867,6.475086085,0.016073158,0.098264789,1.0,0
6172,SLC25A10,1.234331417,0.303729809,3.695637522,0.212996414,0.436996169,0,0
6173,DSG3,1.974416107,0.981426069,6.651118218,0.277755082,0.509123264,1.0,0
6174,SLC25A12,1.069153403,0.096468867,6.210452236,0.325438204,0.55751553,0,0
6175,SLC25A11,1.185516587,0.245515849,4.10073907,0.085064835,0.259191544,0,0
6176,MET,1.115391273,0.157549889,8.974731556,0.612307307,0.789502255,0,0
6177,SLC25A13,-1.137739097,-0.186169761,7.509198129,0.036806197,0.157878727,0,0
6178,FOXK2,1.023657429,0.033732993,6.582795784,0.749644326,0.878345112,0,0
6179,FOXK1,-1.086742064,-0.12000956,7.102662363,0.267033656,0.49803695,0,0
6180,LOC105374813,1.21432165,0.280150614,-0.060429474,0.209520624,0.432897689,0,0
6181,MFF,1.185628235,0.24565171,6.467421674,0.061324358,0.213948344,0,0
6182,LOC105374819,2.275644532,1.186275218,-2.274997812,0.082050205,0.254315773,0,0
6183,SLC25A27,-1.084119882,-0.116524299,4.045240634,0.518081695,0.723133472,0,0
6184,SLC25A26,1.141567863,0.191016627,1.186642627,0.306293501,0.538424519,0,0
6185,SLC25A29,-1.47084548,-0.556645691,5.495747479,0.000150493,0.006071754,0,0
6186,SLC25A28,1.058344976,0.081809962,4.798759736,0.442683235,0.662960172,0,0
6187,FLJ43315,-1.029028081,-0.041282353,1.093588854,0.87807207,0.947539798,0,0
6188,LOC105374820,3.540562443,1.823978561,-1.473575427,0.008269076,0.068200913,0,0
6189,SLC25A21,-1.417632232,-0.503483312,5.972967265,0.065476556,0.222236738,0,0
6190,SLC25A20,1.206514718,0.270845515,3.842979295,0.028658031,0.137571689,0,0
6191,SLC25A23,-1.124105396,-0.168777309,4.794241142,0.280411724,0.512149246,0,0
6192,SLC25A22,1.167635143,0.223589539,3.579222465,0.214192552,0.43849501,0,0
6193,NTRK3-AS1,1.32157014,0.402252996,-2.147714127,0.467212019,0.684330838,0,0
6194,SLC25A25,-1.016663337,-0.023842017,5.649996335,0.863176015,0.941534041,0,0
6195,CTHRC1,1.299490432,0.377946011,5.359960596,0.110834468,0.300863311,1.0,0
6196,SLC25A24,-1.076797639,-0.106747151,2.667541557,0.578697631,0.764816688,0,0
6197,HSDL2-AS1,-1.025094814,-0.035757355,2.934126269,0.808789213,0.911768708,0,0
6198,MMAA,-1.245843628,-0.317123,4.421392358,0.018654633,0.106880455,0,0
6199,MMAB,1.037481493,0.053085601,4.159872787,0.666639409,0.825140081,0,0
6200,MGA,1.073724861,0.102624354,7.543506367,0.199111311,0.421359245,0,0
6201,FOXJ3,-1.20875046,-0.273516439,7.776508241,0.000712721,0.016371881,0,0
6202,FOXJ2,1.136404444,0.184476378,4.881265054,0.047684951,0.184345772,0,0
6203,FOXJ1,-1.358695854,-0.442222543,3.97537149,0.195437497,0.416930516,0,0
6204,LOC105374804,-1.147709386,-0.19875738,-0.949303025,0.602477821,0.782493097,0,0
6205,MERTK,1.11844468,0.1614939,6.69235808,0.297843604,0.529516563,0,0
6206,LOC105374809,1.057428522,0.080560146,2.71793392,0.863834527,0.941901678,0,0
6207,LOC105374808,1.000089889,0.000129676,1.440123015,0.979505218,0.996114073,0,0
6208,PCNX4-DT,-1.16073031,-0.215032808,1.741249309,0.151527125,0.35994517,0,0
6209,DHODH,-1.096167223,-0.132467902,4.064090517,0.194011345,0.415321613,0,0
6210,NELL2,1.8143442,0.859448176,5.947190255,0.000666992,0.015798536,0,0
6211,SLC25A38,1.148288853,0.199485599,4.293518007,0.091221268,0.269843589,0,0
6212,SLC25A37,-1.115507528,-0.157700249,6.470502877,0.367678115,0.595497488,0,0
6213,NELL1,-1.063215025,-0.088433397,6.767904142,0.821658858,0.919213128,0,0
6214,SLC25A39,1.115703593,0.1579538,5.523349234,0.313645475,0.545957038,0,0
6215,LOC105374811,-1.937517907,-0.954209644,3.213596772,8.50481e-06,0.000889204,0,0
6216,MGP,-1.582587826,-0.662285565,6.508607918,0.005835664,0.055865321,0,0
6217,SLC25A30,1.047067931,0.066355044,4.329807756,0.517945088,0.723083076,0,0
6218,SLC25A32,1.035520628,0.050356294,5.688507439,0.598871085,0.779651943,0,0
6219,P4HB,1.194457008,0.256354928,8.945467684,0.16042683,0.372190246,0,0
6220,LOC107986205,-1.214366492,-0.280203888,-0.351133133,0.288304985,0.519458503,0,0
6221,SLC25A31,1.080306761,0.111441035,-1.526534418,0.684350364,0.837878018,0,1.0
6222,SLC25A34,-1.102947351,-0.141363926,0.099975971,0.50760192,0.715040475,0,0
6223,SLC25A33,-1.302919272,-0.381747698,4.688185982,0.000869851,0.018439352,0,0
6224,SLC25A36,1.042907936,0.060611808,7.489708308,0.62798987,0.800239837,0,0
6225,SLC25A35,-1.027904288,-0.039705937,1.655596266,0.786244534,0.89844837,0,0
6226,SPON2,-1.256079143,-0.328927368,5.157073414,0.064235543,0.219877219,0,0
6227,SPON1,-1.114645199,-0.156584561,6.403854111,0.428987251,0.65045307,0,0
6228,FOXI3,3.622399058,1.856945488,0.781640686,0.010992176,0.078883617,0,0
6229,ZDHHC5,1.103604243,0.142222908,6.729776743,0.247317841,0.475834679,0,0
6230,ZDHHC6,1.133798239,0.181163933,5.392375013,0.031523305,0.14465613,0,0
6231,ZDHHC7,-1.402188881,-0.4876807,6.573932489,4.31619e-05,0.002798869,0,0
6232,ZDHHC1,-1.379355542,-0.463994373,3.858787425,0.00071081,0.016353123,0,0
6233,ZDHHC2,-1.002141311,-0.003085956,5.916128761,0.969958406,0.991515118,0,0
6234,CCT6P3,-1.189026576,-0.249780961,5.309440419,0.071940679,0.235168396,0,0
6235,ZDHHC3,1.036572699,0.051821302,6.061429793,0.721346566,0.86089744,0,0
6236,ZDHHC4,-1.138325832,-0.18691357,4.661017633,0.154369267,0.364031832,0,0
6237,GOLGA6L10,1.236986592,0.306829863,-1.887296597,0.556708915,0.750615952,0,0
6238,CHORDC1,1.454020086,0.540047199,1.579171243,0.019737093,0.110333583,0,0
6239,TMEM88B,1.527707282,0.611368141,1.088794759,0.048179139,0.185494843,0,0
6240,NSMCE2,-1.067195172,-0.093824045,8.383436032,0.359077631,0.588143882,0,0
6241,NSMCE1,-1.062163063,-0.087005265,4.567547867,0.356333275,0.586026902,0,0
6242,MMD2,1.650010172,0.722474918,-1.573355064,0.12220356,0.318358646,0,0
6243,SFRP4,-1.176650707,-0.234686115,5.179272946,0.431791759,0.65300332,1.0,0
6244,GNPAT,1.027826562,0.039596841,6.094304206,0.681448777,0.835411511,0,0
6245,SFRP1,1.972476825,0.98000835,2.982027521,0.036481852,0.156890209,1.0,0
6246,SFRP2,1.630417361,0.705241319,5.617926045,0.041126052,0.168369085,1.0,0
6247,MIP,1.120497524,0.164139461,-2.108041471,0.692259896,0.842502998,0,0
6248,SFRP5,-1.001432501,-0.002065184,0.10151784,0.971012461,0.991854723,1.0,0
6249,CTXN2,1.214422504,0.28027043,-1.647878301,0.376006296,0.603477442,0,0
6250,TMEM87A,-1.089775473,-0.124030926,6.34826906,0.249086556,0.478108881,0,0
6251,TMEM87B,-1.025754198,-0.036685059,7.072210414,0.67982714,0.834513404,0,0
6252,EVPL,-1.154307963,-0.207028178,6.160698678,0.330826777,0.562556271,0,0
6253,RIMKLA,-1.618273671,-0.694455607,3.822342279,0.012351568,0.084179636,0,0
6254,RIMKLB,-1.33317767,-0.414869059,6.664998218,0.044894713,0.177905757,0,0
6255,PCAT18,-1.707884237,-0.77221019,0.530905777,0.175648496,0.391383506,0,0
6256,TMEM86A,1.177966152,0.236298085,2.620692003,0.190309984,0.411136086,0,0
6257,FOXF2,-1.095090616,-0.131050254,2.016873528,0.528019621,0.730496087,0,0
6258,FOXF1,-1.27317531,-0.348431085,2.471394562,0.125933185,0.324395224,0,0
6259,CELA1,1.435697236,0.521751542,-1.373109998,0.078351494,0.247703938,0,0
6260,PILRA,1.382985268,0.467785789,3.645841679,0.015188078,0.095422427,0,0
6261,COL9A1,1.467581691,0.553440812,-0.312702015,0.128119011,0.327170794,1.0,1.0
6262,CYSTM1,-1.208751347,-0.273517497,6.038458724,0.100965698,0.285556925,0,0
6263,COL9A2,-1.373247158,-0.457591306,3.965841424,0.058447563,0.20839085,1.0,1.0
6264,MKX,1.061236973,0.085746844,2.051922103,0.73123642,0.866806075,0,0
6265,RCOR3,-1.01732266,-0.024777325,7.256142469,0.796329036,0.904432967,0,0
6266,RCOR2,1.923735714,0.943910613,1.316189141,0.008773543,0.070175891,0,0
6267,GLIPR1L2,-1.097453425,-0.134159715,1.121983378,0.547530786,0.743790662,0,0
6268,RCOR1,-1.189683039,-0.250577255,7.570868625,0.020154481,0.111675938,0,0
6269,PCAT29,-1.280045281,-0.356194846,4.064434141,0.238023909,0.466742295,0,0
6270,FKBP11,1.192573061,0.254077654,4.188393322,0.139949937,0.343543484,0,0
6271,SUV39H2,1.148592903,0.199867552,2.684332924,0.16494851,0.378155979,0,0
6272,FKBP10,1.274574832,0.350016079,5.349627052,0.174242884,0.389434392,0,0
6273,ZNF22-AS1,1.280862489,0.357115599,1.077464447,0.058552006,0.20850177,0,0
6274,FKBP15,1.217998048,0.284511821,6.519113067,0.003029321,0.039112303,0,0
6275,DOC2A,-1.405848341,-0.491440969,1.243934866,0.080987382,0.252585434,0,0
6276,FKBP14,-1.000122289,-0.000176415,1.542116411,0.984816615,0.998395767,0,0
