,Name,FC,logFC,logCPM,P-Value,FDR,SCLC,NSCLC
12686,LOC107985961,-1.265834379,-0.340088656,6.597680179,0.363613355,0.59223791,0,0
12687,LOC107984630,1.028812781,0.040980471,-0.846539255,0.879377239,0.94837903,0,0
12688,LOC107985960,-1.361636965,-0.445342109,1.570454173,0.228283857,0.454819998,0,0
12689,IL6R,-1.333737767,-0.415475039,6.584556186,0.015816515,0.097645262,1.0,1.0
12690,LOC107985969,1.741711781,0.800505906,2.895446884,0.154514809,0.364199009,0,0
12691,GEN1,1.137382014,0.185716895,3.812301143,0.268868692,0.499735455,0,0
12692,TPTE2,1.205407876,0.269521397,3.150748633,0.285163585,0.516424333,0,0
12693,IL4R,-1.133460061,-0.180733557,7.312862388,0.208472614,0.431748176,1.0,1.0
12694,UBE4A,1.133003515,0.180152337,5.596544206,0.057545226,0.206500342,0,0
12695,UBE4B,-1.134342053,-0.181855741,7.224704317,0.041085199,0.16830635,0,0
12696,LOC112268444,-1.024901033,-0.035484607,2.004008707,0.795952719,0.904238651,0,0
12697,TMEM250,1.11910041,0.162339487,3.966979728,0.318470164,0.551308788,0,0
12698,LOC112268446,1.082741069,0.114688272,4.320774168,0.819542286,0.918091607,0,0
12699,TMEM251,1.211789434,0.277139031,-1.785817332,0.451266994,0.670862793,0,0
12700,TMEM252,1.12677805,0.172203365,-0.418234679,0.621380716,0.79542456,0,0
12701,TMEM254,1.295219486,0.373196595,4.14584565,0.016930802,0.101093843,0,0
12702,SHQ1,1.062681652,0.087709473,5.518279191,0.262536602,0.493024168,0,0
12703,TMEM258,1.322861499,0.403662023,4.199123438,0.033254973,0.149549081,0,0
12704,TMEM259,1.01497429,0.021443183,5.790280986,0.889611319,0.953282368,0,0
12705,SHPK,-1.096280918,-0.132617532,4.346666265,0.256078563,0.485808563,0,0
12706,MAP7D1,1.057841111,0.081122949,5.913528075,0.534252669,0.73473299,0,0
12707,EHBP1L1,1.158909248,0.212767596,6.451421287,0.070032464,0.231428918,0,0
12708,EPHA5-AS1,2.412190073,1.270343591,-0.019973294,0.098228688,0.28116468,0,0
12709,SIDT1,-1.237539439,-0.307474504,6.151148123,0.130856109,0.33108546,0,0
12710,LOC107985976,1.12212855,0.16623796,0.244984362,0.456195145,0.675030521,0,0
12711,LOC107984649,1.916795896,0.938696724,-1.779095839,0.026216816,0.13123965,0,0
12712,LOC107985979,-1.51770264,-0.601889155,0.592116162,0.074870796,0.241093229,0,0
12713,SIDT2,1.1373557,0.185683518,4.805634574,0.100697449,0.285165257,0,0
12714,LOC107984647,1.140647369,0.189852851,-1.623209934,0.487609265,0.699241302,0,0
12715,LOC107985939,1.128689422,0.174648559,2.066551417,0.309787646,0.542009496,0,0
12716,CACNA1B,1.518492915,0.602640177,3.187909442,0.232029883,0.459575314,0,1.0
12717,CACNA1D,-1.175725318,-0.233551046,7.212423356,0.371338808,0.599488935,0,1.0
12718,CACNA1C,-1.153404368,-0.205898391,0.707660376,0.423233044,0.645529235,0,1.0
12719,BHLHE22,-1.037429834,-0.053013764,0.537148791,0.81760478,0.917115888,0,0
12720,HOXB13,-1.040396071,-0.057132856,-0.117330057,0.872847057,0.945389471,0,0
12721,CACNA1E,-1.324331835,-0.405264661,3.147093515,0.212542571,0.436222025,0,1.0
12722,TMEM240,-1.054905289,-0.077113477,-0.493742894,0.740417174,0.873016029,0,0
12723,LOC112268458,1.019227553,0.027476185,2.080102634,0.928685406,0.971928876,0,0
12724,CACNA1H,-1.286427008,-0.363369601,3.909410132,0.201679284,0.424161301,0,1.0
12725,TMEM241,-1.060261702,-0.084420406,6.002326259,0.451915572,0.671423241,0,0
12726,TMEM242,1.135488734,0.183313392,3.76572692,0.073789227,0.238933094,0,0
12727,CACNA1G,-1.364979118,-0.44887888,0.819409714,0.13246014,0.333180293,0,1.0
12728,TMEM243,-1.202117319,-0.265577701,5.46380574,0.093854562,0.274253813,0,0
12729,TMEM245,-1.132725823,-0.179798698,7.830279843,0.18493723,0.403852107,0,0
12730,ARFGEF1-DT,1.051803339,0.072864981,2.003805501,0.773008502,0.891721327,0,0
12731,TMEM247,1.32892837,0.410263344,-1.699950227,0.238905101,0.467630403,0,0
12732,LOC107985940,1.030478714,0.043314704,1.107846099,0.870924429,0.944907383,0,0
12733,TMEM248,-1.036342205,-0.051500467,6.857034349,0.595583115,0.777258516,0,0
12734,DHRS7B,-1.107691585,-0.147556248,5.30599647,0.106434029,0.293960653,0,0
12735,LOC107984613,-1.580843281,-0.660694351,-1.677356163,0.039324549,0.164327263,0,0
12736,LOC107985944,1.001235073,0.001780735,0.324254837,0.990411224,1.0,0,0
12737,LOC107984611,1.367190692,0.45121448,-0.413514358,0.15709252,0.367994299,0,0
12738,LOC107985941,1.035934017,0.050932115,0.14833887,0.942209532,0.978421722,0,0
12739,LOC107985948,1.214610746,0.280494038,0.287430335,0.176687525,0.392737975,0,0
12740,LOC107985946,1.192295618,0.253741982,-1.53304528,0.385891112,0.611795945,0,0
12741,MFAP3L,1.240994965,0.311497262,2.990276899,0.198336562,0.420349391,0,0
12742,TFAP2A,1.160971175,0.215332153,3.473546078,0.560393132,0.753156793,0,0
12743,HAUS6P3,1.396609172,0.481928352,-1.322218325,0.099046393,0.28239002,0,0
12744,LOC107984619,1.331868642,0.413451801,-1.511476338,0.204884203,0.427764484,0,0
12745,UBE2H,-1.039471828,-0.055850658,8.458075679,0.583008105,0.768900817,0,0
12746,VCAM1,1.785144374,0.836040758,5.81336389,0.005428903,0.053874979,0,0
12747,UBE2I,-1.077519126,-0.107713478,5.84137067,0.243421276,0.472369113,0,0
12748,TFAP2D,-1.118450093,-0.161500883,2.496713293,0.765850373,0.888099169,0,0
12749,UBE2B,-1.152311332,-0.204530558,6.007229249,0.029424357,0.139390403,1.0,0
12750,TFAP2E,-1.23758764,-0.307530694,2.414443434,0.036794851,0.157878727,0,0
12751,LOC112268467,1.180020275,0.238811648,-0.420393816,0.349765338,0.58029783,0,0
12752,C8orf33,1.292986872,0.370707627,4.75815308,0.024407054,0.125890082,0,0
12753,LOC112268468,2.25216351,1.171311573,-2.049670911,0.198939249,0.421175386,0,0
